UF - A,MUNICIPIO - A,NOME DO POP - A,TRECHO,UF - B,MUNICIPIO - B,NOME DO POP - B,TIPO DE REDE,RESPONSAVEIS
PI,LAGOINHA DO PIAUI,ESTACA ZERO,ESTACA ZERO <> SÃƒO PEDRO ROTA TRABALHO,PI,SÃƒO PEDRO,SÃƒO PEDRO,DWDM, MEGALINK/IDEAL WEB
PI,LAGOINHA DO PIAUI,ESTACA ZERO,ESTACA ZERO <> SÃƒO PEDRO ROTA PROTEÃ‡ÃƒO,PI,SÃƒO PEDRO,SÃƒO PEDRO,DWDM, GIGA+
PI,SÃƒO PEDRO,SÃƒO PEDRO,SÃƒO PEDRO <> AMARANTE ROTA PROTEÃ‡ÃƒO,PI,AMARANTE,AMARANTE,DWDM, GIGA+
PI,SÃƒO PEDRO,SÃƒO PEDRO,SÃƒO PEDRO <> AMARANTE ROTA TRABALHO,PI,AMARANTE,AMARANTE,DWDM, MEGALINK/IDEAL WEB
PI,AMARANTE,AMARANTE,AMARANTE <> FLORIANO ROTA TRABALHO,PI,FLORIANO,FLORIANO,DWDM, MEGALINK/IDEAL WEB
PI,AMARANTE,AMARANTE,AMARANTE <> FLORIANO ROTA PROTEÃ‡ÃƒO,PI,FLORIANO,FLORIANO,DWDM, GIGA+
PI,FLORIANO,FLORIANO,FLORIANO <> ITAUEIRA,PI,ITAUEIRA,ITAUEIRA,DWDM, GIGA+/VIVO
PI,ITAUEIRA,ITAUEIRA,ITAUEIRA <> CANTO DO BURITI,PI,CANTO DO BURITI,CANTO DO BURITI,DWDM, VIVO
PI,AMARANTE,AMARANTE,AMARANTE <> PALMEIRAIS,PI,PALMEIRAIS,PALMEIRAIS,DWDM PASSIVO, CLICKNET
PI,AMARANTE,AMARANTE,AMARANTE <> REGENERAÃ‡ÃƒO,PI,REGENERAÃ‡ÃƒO,REGENERAÃ‡ÃƒO,METRO, MEGALINK
PI,REGENERAÃ‡ÃƒO,REGENERAÃ‡ÃƒO,REGENERAÃ‡ÃƒO <> SÃƒO PEDRO,PI,SÃƒO PEDRO,SÃƒO PEDRO,METRO, MEGALINK
PI,SÃƒO PEDRO DO PIAUÃ,SÃƒO PEDRO,SÃƒO PEDRO <> ÃGUA BRANCA,PI,ÃGUA BRANCA,ÃGUA BRANCA,METRO, IDEAL WEB/MEGALINK
PI,ÃGUA BRANCA,ÃGUA BRANCA,ÃGUA BRANCA <> ESTACA ZERO,PI,LAGOINHA DO PIAUI,ESTACA ZERO,METRO, IDEAL WEB
